# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
[0]
CSANAE,SANAE
CALICE,ALICE
CREISEN,REISEN
CLILYWHITE,LILYWHITE
CLILYBLACK,LILYBLACK
CMOMIJI,MOMIJI
CSHIZUHA,SHIZUHA
CMINORIKO,MINORIKO
CMEDICINE,MEDICINE
CKOAKUMA,KOAKUMA
CNAZRIN,NAZRIN
CTOKIKO,TOKIKO
CREMILIA,REMILIA
CCIRNO,CIRNO
CRUMIA,RUMIA
SHANGHAI,HOURAI
CFLANDRE,FLANDRE
CYOUMU,YOUMU
CYUKARI,YUKARI
CSUIKA,SUIKA
CMYSTIA,MYSTIA
CKEINE,KEINE,AKEINE
CIKU,IKU
CKOISHI,KOISHI
CYAMAME,YAMAME
CCHEN,CHEN
CYORIHIME,YORIHIME
CKAGUYA,KAGUYA
CMOKOU,MOKOU
CHATATE,HATATE
CLETTY,LETTY
CPATCHOULI,PATCHOULI
CYUUGI,YUUGI

